symbol,total_supply_usd,total_debt_usd,total_activity_usd,supplier_users,borrower_users,active_users,debt_from_high_loopers_usd,debt_from_extreme_loopers_usd,debt_from_low_hf_users_usd,supply_from_high_loopers_usd,supply_from_extreme_loopers_usd,supply_from_low_hf_users_usd,equity_backed_supply_usd,debt_high_loop_share,debt_extreme_loop_share,debt_low_hf_share,supply_high_loop_share,supply_extreme_loop_share,supply_low_hf_share,equity_backing_ratio,synthetic_or_looped_supply_ratio,looping_activity_score,healthy_collateral_score
PT-USDe-5FEB2026,193279687.25668156,0.0,193279687.25668156,22,0,22,0.0,0.0,0.0,14007259.50707318,14007255.692721853,14007255.692721853,101791743.07641023,0.0,0.0,0.0,0.07247145163511723,0.07247143190023778,0.07247143190023778,0.5266551520296469,0.47334484797035314,0.07247145163511723,0.4530862960290194
PT-sUSDE-25SEP2025,177599909.46729052,0.0,177599909.46729052,207,0,207,0.0,0.0,0.0,2279450.5752480696,2279276.769923169,17279441.321454126,37685946.82474271,0.0,0.0,0.0,0.012834750772594777,0.012833772138509761,0.09729420118109108,0.21219575470382504,0.787804245296175,0.012834750772594777,0.18909202486166696
PT-USDe-27NOV2025,160249255.96613136,0.0,160249255.96613136,82,0,82,0.0,0.0,0.0,151196.86956817057,270.4950584894238,6736606.348875237,103169850.59032585,0.0,0.0,0.0,0.0009435105870327785,1.6879645203881188e-06,0.04203830032321034,0.6438086090841556,0.3561913909158444,0.0009435105870327785,0.6167429483828353
LBTC,155204152.94110927,1333.069261504902,155205486.01037076,619,9,625,0.0,0.0,0.12308209656776459,1343452.1245797917,886616.5736326502,1343468.1213325337,77181258.695878,0.0,0.0,9.232985871178006e-05,0.008656032065646798,0.005712582793896426,0.008656135134749261,0.4972886178191616,0.5027113821808384,0.008655957718466362,0.49016780831007273
rETH,144005581.63120908,103428.8873874369,144109010.5185965,870,31,897,170.475362260287,0.0,170.73254201187072,2029669.8922131637,372759.6708369173,1201966.460331857,64052544.82766388,0.001648237417673256,0.0,0.0016507239546367674,0.014094383490016689,0.0025885084912301228,0.00834666578001144,0.4447920983486541,0.5552079016513459,0.014085450731156633,0.4399378291567228
RLUSD,122625584.70415474,17261653.934691057,139887238.6388458,578,180,741,16457.7249678305,0.0,187788.39460253698,1.0010118463689808,0.0,11760.512350690984,53500134.73849313,0.0009534268865601062,0.0,0.010878934041490386,8.163156561365329e-09,0.0,9.590586156277483e-05,0.43628851897071086,0.5637114810292891,0.00011765709395529083,0.436246676344409
PT-sUSDE-7MAY2026,107613159.78149553,0.0,107613159.78149553,55,0,55,0.0,0.0,0.0,105773790.26660953,61283193.541321166,105286291.66937912,14327019.224463245,0.0,0.0,0.0,0.9829075782309453,0.5694767597731949,0.9783774761670317,0.13313445357011836,0.8668655464298817,0.9829075782309453,0.0012393484981387546
USDG,54770987.965407,41515456.327088,96286444.292495,250,18,268,1002.095264,0.0,1002.095264,1491.1855850000002,1491.1855850000002,1491.1855850000002,10649040.706390116,2.413788387883269e-05,0.0,2.413788387883269e-05,2.722582959324786e-05,2.722582959324786e-05,2.722582959324786e-05,0.1944284940252672,0.8055715059747328,2.5894411901077313e-05,0.19441790721529373
PT-sUSDE-27NOV2025,92790779.90357685,0.0,92790779.90357685,96,0,96,0.0,0.0,0.0,42465626.108768515,7302811.932193305,42465058.18599062,30731202.350148477,0.0,0.0,0.0,0.45764919912190083,0.07870191348517591,0.4576430786562846,0.3311881027628249,0.668811897237175,0.45764919912190083,0.16548555211950294
EURC,59169425.5974834,30743461.658644922,89912887.25612831,894,415,1258,3120.5751022800046,0.0,158997.25532231998,320922.10992024,355.12135452000007,4432649.84726148,49282045.9190466,0.00010150369977619332,0.0,0.005171742111793409,0.005423782750628722,6.001771200819366e-06,0.07491453233661288,0.8328971495228217,0.16710285047717832,0.003603962623282724,0.7704964247108149
